word,count,mean,std,min,max
marm,2,2.8245,2.1925,0.632,5.017
ostensible,2,2.83,2.08,0.75,4.91
roderick,4,1.6384999999999998,2.0349315099039575,0.165,5.138
fieldfare,2,2.9715000000000003,1.9735,0.998,4.945
sarkoja,2,2.454,1.897,0.557,4.351
marek,3,2.648,1.8874481891343844,0.197,4.789
direst,2,2.042,1.886,0.156,3.928
folwell,5,2.0844,1.8380220455696392,0.285,5.516
twyne,2,2.6365000000000003,1.8355000000000001,0.801,4.472
quarterly,2,2.853,1.8260000000000003,1.027,4.679
subsidence,2,2.1995,1.8175000000000001,0.382,4.017
beget,3,1.8529999999999998,1.8115464848208191,0.234,4.382
mistily,2,2.3605,1.8034999999999999,0.557,4.164
gimme,2,1.8864999999999998,1.7845,0.102,3.671
silvan,2,2.587,1.7570000000000001,0.83,4.344
bishoprics,3,1.8043333333333333,1.7536564341081433,0.527,4.284
howitt,6,1.5943333333333332,1.745540858556135,0.181,5.245
gunn,2,1.7465,1.7455,0.001,3.492
amarian,2,2.88,1.735,1.145,4.615
frights,2,1.8375,1.7285,0.109,3.566
lambkin,3,2.6136666666666666,1.7146316092839171,0.587,4.78
inane,2,2.116,1.706,0.41,3.822
nonconformists,3,2.1633333333333336,1.6995176439867348,0.547,4.512
boo,3,2.4303333333333335,1.697874030139522,0.666,4.723
dragoons,4,2.3797500000000005,1.6956459499258685,0.852,5.198
gilroys,3,2.401,1.693778222397096,1.134,4.795
goodwin,2,2.0975,1.6925000000000001,0.405,3.79
charlcote,3,3.1246666666666663,1.6886196203474073,0.749,4.523
yew,4,1.60325,1.6834450354852695,0.015,4.438
arousing,4,2.506,1.6823838741500108,0.215,4.866
revolved,6,2.6544999999999996,1.678871917886134,0.478,5.273
mescal,2,1.8860000000000001,1.677,0.209,3.563
stana,2,1.9240000000000002,1.6470000000000002,0.277,3.571
sergeyitch,4,2.49625,1.6431053488745022,0.594,4.52
fonteboa,3,1.9026666666666667,1.642989416345164,0.414,4.192
jappy,6,2.087833333333333,1.640329582397662,0.39,4.653
satiety,2,1.7655,1.6335,0.132,3.399
twos,4,2.1545,1.6143812282109824,0.473,4.717
hinnu,2,1.611,1.611,0.0,3.222
vizier,11,1.9733636363636364,1.6107296637197617,0.107,4.937
beryls,4,1.7392500000000002,1.6030895756320045,0.431,4.431
tusks,2,2.467,1.6030000000000002,0.864,4.07
fondle,2,2.204,1.601,0.603,3.805
effusions,2,1.9855,1.5905,0.395,3.576
commendable,3,1.6529999999999998,1.5891641408824535,0.375,3.893
iago,2,2.4755,1.5875,0.888,4.063
katherine,8,2.064375,1.5864192334862182,0.28,4.465
seraph,3,2.046333333333333,1.5847618818681315,0.781,4.281
superfine,2,2.0620000000000003,1.57,0.492,3.632
rhodes,2,1.681,1.567,0.114,3.248
squeaks,4,1.7497500000000001,1.561967249176499,0.129,4.301
popish,4,1.62625,1.5527986628987034,0.369,4.229
gamekeepers,3,1.9910000000000003,1.550664588705974,0.815,4.182
lucid,3,1.5206666666666664,1.5502370428063217,0.167,3.691
heerd,3,2.0353333333333334,1.5498897451826121,0.154,3.95
negus,2,2.8625,1.5484999999999998,1.314,4.411
downs,14,1.4023571428571429,1.5337517310337354,0.402,5.409
prague,6,1.8221666666666667,1.5331285461072364,0.352,4.284
scaled,3,1.8580000000000003,1.5302550985592787,0.274,3.927
inflame,5,2.0306,1.5295736137891502,0.744,4.881
jurisprudence,3,1.2766666666666666,1.5288850694396734,0.086,3.435
wagged,4,1.1717499999999998,1.5238798139945287,0.147,3.794
gundhar,2,2.5035,1.5094999999999998,0.994,4.013
heartedly,3,1.5763333333333334,1.5050617558389054,0.144,3.656
vicomte,5,1.8298,1.5042505642345627,0.396,4.676
drownded,2,1.6905,1.4965,0.194,3.187
borodino,2,1.7745000000000002,1.4945000000000002,0.28,3.269
pails,3,1.9883333333333333,1.4882787224023446,0.478,4.013
walpole,2,2.508,1.486,1.022,3.994
faulty,3,2.042666666666667,1.4818547687123578,0.963,4.138
ma,3,1.0836666666666666,1.4759732005998243,0.035,3.171
stokoe,5,1.9223999999999997,1.4721151585388963,0.008,3.823
mura,2,1.721,1.471,0.25,3.192
cavendish,9,2.7386666666666666,1.4677941878130523,0.449,4.453
whooped,2,1.8695000000000002,1.4675,0.402,3.337
hawk,21,1.2888095238095238,1.4635796501353284,0.045,5.876
tanyas,2,2.23,1.46,0.77,3.69
curb,6,2.18,1.4590966383348294,0.262,4.678
depose,3,2.3016666666666667,1.4575068515181062,0.469,4.035
inviolable,2,2.2595,1.4535,0.806,3.713
thrashed,4,1.8972499999999999,1.4503948384836456,0.491,4.051
ourself,2,1.95,1.45,0.5,3.4
jael,2,1.647,1.448,0.199,3.095
ischia,3,1.5903333333333334,1.4479480500195978,0.329,3.618
disproved,2,1.4429999999999998,1.442,0.001,2.885
gauged,3,2.0173333333333336,1.4415834658072662,0.489,3.95
lyrism,2,1.571,1.4409999999999998,0.13,3.012
infatuated,4,1.68475,1.4397852921529655,0.266,4.091
burwell,6,1.8138333333333332,1.439246726203985,0.531,3.901
dime,4,1.779,1.438875081443834,0.049,3.988
mabels,2,1.795,1.438,0.357,3.233
defers,2,2.4095,1.4344999999999999,0.975,3.844
undesirable,6,1.7768333333333333,1.4320130838167024,0.359,4.287
billboard,2,1.5485,1.4315,0.117,2.98
trolley,2,1.8955,1.4305,0.465,3.326
